GRP,WBEING,HRS,LEAD
1.0,2.1111111111,12.0,3.1818181818
1.0,3.3333333333,11.0,3.0
1.0,2.1111111111,12.0,3.6363636364
1.0,4.3888888889,9.0,3.3636363636
1.0,1.7222222222,7.0,3.5454545455
1.0,3.3333333333,8.0,3.25
1.0,3.4444444444,9.0,3.6363636364
1.0,3.6666666667,8.0,3.2727272727
1.0,3.0555555556,12.0,3.5454545455
1.0,1.7222222222,11.0,2.5454545455
1.0,3.6666666667,11.0,3.4545454545
1.0,4.2777777778,10.0,4.0
1.0,1.8888888889,11.0,2.0
1.0,2.6111111111,12.0,1.9090909091
1.0,2.9444444444,12.0,1.1818181818
1.0,2.6111111111,12.0,2.9090909091
1.0,2.4444444444,14.0,2.8333333333
1.0,4.5555555556,11.0,4.3636363636
1.0,3.7222222222,8.0,3.4
1.0,1.6666666667,12.0,2.9090909091
1.0,1.6666666667,12.0,2.4545454545
1.0,3.7777777778,10.0,3.5454545455
1.0,1.7777777778,11.0,3.5454545455
1.0,3.8888888889,12.0,2.9090909091
1.0,1.9444444444,11.0,2.4
1.0,2.4444444444,11.0,1.8181818182
1.0,3.8888888889,12.0,3.6363636364
1.0,4.3333333333,10.0,2.8333333333
1.0,0.3333333333,12.0,1.7272727273
1.0,3.4444444444,12.0,2.8333333333
1.0,2.7777777778,13.0,2.7272727273
1.0,2.8888888889,13.0,3.0
1.0,2.9444444444,8.0,3.8181818182
1.0,1.2222222222,14.0,1.5454545455
1.0,2.4444444444,14.0,3.0909090909
1.0,1.0,11.0,1.6666666667
1.0,2.6111111111,10.0,2.5454545455
1.0,2.6111111111,12.0,3.0909090909
1.0,2.9444444444,13.0,3.6363636364
1.0,3.1111111111,12.0,3.3636363636
1.0,4.0555555556,10.0,3.3636363636
1.0,4.0555555556,11.0,4.1818181818
1.0,3.0555555556,11.0,3.2727272727
1.0,3.7222222222,12.0,3.1818181818
1.0,2.5,10.0,2.3636363636
1.0,2.6111111111,11.0,3.0
1.0,4.3333333333,13.0,3.9090909091
1.0,2.9444444444,9.0,2.7272727273
1.0,0.4444444444,10.0,3.0909090909
1.0,3.3888888889,12.0,3.0909090909
1.0,2.7777777778,12.0,2.6363636364
1.0,4.1666666667,12.0,2.7272727273
1.0,2.1666666667,11.0,1.6363636364
1.0,2.8333333333,12.0,2.5454545455
1.0,2.6666666667,10.0,3.1818181818
1.0,2.5555555556,11.0,3.0
1.0,3.3888888889,8.0,1.7272727273
1.0,2.5,8.0,3.4545454545
1.0,2.3333333333,11.0,3.1818181818
1.0,3.8888888889,12.0,2.3636363636
1.0,2.2941176471,8.0,3.5
1.0,3.4444444444,9.0,3.7272727273
1.0,3.4444444444,8.0,3.0909090909
1.0,3.6111111111,9.0,4.0
1.0,2.3333333333,11.0,2.2727272727
1.0,0.6666666667,12.0,1.3636363636
1.0,2.7222222222,8.0,3.5
1.0,2.1666666667,13.0,3.5
1.0,0.5555555556,11.0,1.7272727273
1.0,3.8888888889,11.0,2.9090909091
1.0,2.4444444444,12.0,3.0909090909
1.0,2.2777777778,14.0,2.7272727273
1.0,2.5555555556,13.0,2.3636363636
1.0,2.5555555556,12.0,2.2222222222
2.0,2.3333333333,13.0,2.1818181818
2.0,3.5,10.0,2.6363636364
2.0,2.7777777778,12.0,2.3333333333
2.0,3.2222222222,11.0,2.7272727273
2.0,2.6666666667,13.0,3.0
2.0,1.4444444444,11.0,3.1666666667
2.0,2.5,18.0,3.0
2.0,3.2222222222,15.0,1.7272727273
2.0,3.2222222222,9.0,2.8333333333
2.0,2.1111111111,16.0,2.0
2.0,2.0555555556,16.0,1.9090909091
2.0,2.3333333333,11.0,2.6666666667
2.0,3.1111111111,10.0,2.0
2.0,2.1111111111,14.0,1.5454545455
2.0,3.8888888889,12.0,3.75
2.0,3.7222222222,12.0,2.5454545455
2.0,2.6666666667,12.0,1.0
2.0,3.6111111111,11.0,3.2727272727
2.0,3.0555555556,12.0,1.7272727273
2.0,0.5555555556,14.0,2.3636363636
